                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                       4                                      939                  1.1499999999999999E+000                  2.0000000000000000E-002                  5.3680000000000008E-005                  1.7280000000000001E-005                  1.1217091692809285E+004                  5.3710691232428283E-004                  6.1365318366346277E-003                  4.6627419128191571E+002                  1.0457733497261793E-099                  1.0897652797146605E-099                  7.7368079679742255E-038                  2.4767849193514890E-001                  1.1617505996958125E-099                  7.2633816180981858E-001                  1.8814854295073607E-003                  1.1499999999999999E+000                  0.0000000000000000E+000                  1.2207458782381387E-007                  5.1081231640273471E-012                  5.0864167695977093E-005                  3.3511341441148507E-001                  6.2541497637006370E-007                  7.8490643906675606E-001                  2.2033930763810270E-003                  1.1499996995563486E+000                  1.1499172706799914E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4863445452359709E+000                  9.4491524458747695E+012                  2.1411007261542703E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0028956231453638E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.6940119680000003E+003                               "r24.03.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241031"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.1499999999999999E+000                 -2.2120770082985683E+000                  5.0840953150221138E+000                 -3.2705594022327387E+000                  9.9219580058533410E+000                  6.9999998388351325E-001                  2.8000030712449780E-001                  1.9999708991988996E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.1499999999999768E+000                 -2.2121148629848078E+000                  5.2319843985575352E+000                 -3.0241281587783213E+000                  1.0322330755043412E+001                  6.9999995492202938E-001                  2.8000033610765401E-001                  1.9999708970316554E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.1499999999999651E+000                 -2.2121258867039879E+000                  5.2681550458745452E+000                 -2.8981723743333117E+000                  1.0484533688043220E+001                  6.9999993308024644E-001                  2.8000035796578182E-001                  1.9999708953971740E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.1499999999999508E+000                 -2.2121359151307689E+000                  5.2946151649131927E+000                 -2.7917622593809743E+000                  1.0617232262514573E+001                  6.9999990788323785E-001                  2.8000038318164561E-001                  1.9999708935116489E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.1499999999999353E+000                 -2.2121444683153744E+000                  5.3176931947161803E+000                 -2.6946027480867585E+000                  1.0737238976202134E+001                  6.9999987731828983E-001                  2.8000041376946633E-001                  1.9999708912243896E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.1499999999999149E+000                 -2.2121534831899545E+000                  5.3333903753941287E+000                 -2.6231458241005652E+000                  1.0824148563290951E+001                  6.9999984927002690E-001                  2.8000044183871847E-001                  1.9999708891254686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.1499999999999020E+000                 -2.2121581759811630E+000                  5.3475955205867871E+000                 -2.5608602522520600E+000                  1.0900442509483561E+001                  6.9999981976291703E-001                  2.8000047136790879E-001                  1.9999708869174126E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.1499999999998793E+000                 -2.2121654313976604E+000                  5.3587694462950211E+000                 -2.5086904167298405E+000                  1.0963578926513756E+001                  6.9999979102252319E-001                  2.8000050012981004E-001                  1.9999708847666775E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.1499999999998678E+000                 -2.2121687479110896E+000                  5.3659830801527342E+000                 -2.4757767566562179E+000                  1.1003580114422526E+001                  6.9999977042437977E-001                  2.8000052074336751E-001                  1.9999708832252772E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
